2015-05-15 14:49:07 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:49:56 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:50:17 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:50:33 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:50:44 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:51:09 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:51:45 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:52:30 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:52:41 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:52:50 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:53:07 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 14:53:18 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 14:53:20 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 14:53:21 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 14:53:24 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 14:53:30 Debug: Here: /eval/, coming from: /quizzs/add_new/1/1/1
2015-05-15 14:53:41 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 14:53:41 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 14:53:44 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 14:53:45 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 14:53:50 Debug: Here: /eval/quizzs/edit_new/1/1/29, coming from: /quizzs/viewnew/1/1/1
2015-05-15 14:53:51 Debug: Here: /eval/quizzs/edit_new/1/favicon.ico, coming from: /quizzs/edit_new/1/1/29
2015-05-15 14:53:51 Debug: Redirecting to: /eval/Questions, initiated in /Applications/MAMP/htdocs/eval/cake/libs/object.php on line 120
2015-05-15 14:53:51 Debug: Here: /eval/Questions, coming from: /quizzs/edit_new/1/1/29
2015-05-15 14:54:05 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 14:54:19 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 14:54:20 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 14:54:25 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 14:54:28 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 14:54:30 Debug: Here: /eval/questions/edit/258, coming from: /quizzs/banksoal/1/1
2015-05-15 14:57:08 Debug: Here: /eval/, coming from: /quizzs/add_new/1/1/1
2015-05-15 14:57:16 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 14:57:17 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:00:01 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:00:03 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:01:30 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:01:32 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:01:58 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:02:00 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:02:07 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:02:08 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:02:39 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:02:41 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:02:49 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:02:52 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:02:54 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:02:56 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:03:30 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:03:32 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:03:47 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:03:50 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:04:15 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:04:16 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:04:17 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:04:18 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:05:43 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:05:44 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:06:00 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:06:00 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:06:11 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:06:12 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:06:13 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:06:14 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:06:33 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:06:33 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:07:19 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:08:03 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:08:21 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:08:34 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:08:34 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:08:36 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:08:37 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:08:39 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:08:56 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:08:57 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:09:20 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:09:21 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:09:59 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:10:00 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:10:53 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:10:54 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:11:05 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:11:06 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:11:12 Debug: Here: /eval/, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:11:18 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:11:19 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:11:21 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:11:23 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:12:40 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:12:41 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:13:28 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:13:29 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:13:48 Debug: Here: /eval/, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:14:05 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:14:06 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:14:32 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:14:33 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:14:39 Debug: Here: /eval/, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:14:44 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:14:45 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:14:46 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:14:47 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:15:05 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:15:05 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:15:08 Debug: Here: /eval/, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:15:13 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:15:14 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 15:15:54 Debug: Here: /eval/, coming from: /quizzs/banksoal/1/1
2015-05-15 15:17:32 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:17:33 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:18:19 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:18:20 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:18:33 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:18:34 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:19:02 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:19:03 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:19:11 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:19:11 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:19:24 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:19:24 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:19:42 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:19:42 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:19:58 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:19:59 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:20:18 Debug: Here: /eval/quizzs/, coming from: /
2015-05-15 15:20:22 Debug: Here: /eval/, coming from: /
2015-05-15 15:21:36 Debug: Here: /eval/quizzs/banksoal/4/1, coming from: /
2015-05-15 15:21:37 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/4/1
2015-05-15 15:21:42 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:21:42 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 15:25:26 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:26:42 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:27:10 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:28:26 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 15:29:01 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:29:28 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 15:31:15 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
